the_geom,the_geom_webmercator,collection_date,count,test_result,etl_timestamp
,,2020-09-02,4295,negative,2022-03-08 16:00:02
,,2021-08-04,247,positive,2022-03-08 16:00:02
,,2021-08-29,3458,negative,2022-03-08 16:00:02
,,2020-07-25,82,positive,2022-03-08 16:00:02
,,2022-01-19,1444,positive,2022-03-08 16:00:02
,,2020-04-03,1052,negative,2022-03-08 16:00:02
,,2021-05-06,11359,negative,2022-03-08 16:00:02
,,2020-12-18,812,positive,2022-03-08 16:00:02
,,2021-05-24,129,positive,2022-03-08 16:00:02
,,2021-01-01,4875,negative,2022-03-08 16:00:02
,,2021-05-31,1618,negative,2022-03-08 16:00:02
,,2021-01-26,473,positive,2022-03-08 16:00:02
,,2021-10-10,2349,negative,2022-03-08 16:00:02
,,2022-02-10,183,positive,2022-03-08 16:00:02
,,2020-07-03,96,positive,2022-03-08 16:00:02
,,2021-02-09,373,positive,2022-03-08 16:00:02
,,2021-06-18,3220,negative,2022-03-08 16:00:02
,,2020-10-28,6116,negative,2022-03-08 16:00:02
,,2021-02-18,141,positive,2022-03-08 16:00:02
,,2021-01-19,625,positive,2022-03-08 16:00:02
,,2021-06-07,6420,negative,2022-03-08 16:00:02
,,2020-03-18,72,positive,2022-03-08 16:00:02
,,2020-07-09,2914,negative,2022-03-08 16:00:02
,,2022-02-04,7126,negative,2022-03-08 16:00:02
,,2021-09-14,402,positive,2022-03-08 16:00:02
,,2020-04-10,510,positive,2022-03-08 16:00:02
,,2021-08-22,212,positive,2022-03-08 16:00:02
,,2021-12-25,2047,negative,2022-03-08 16:00:02
,,2020-08-19,4191,negative,2022-03-08 16:00:02
,,2021-04-12,845,positive,2022-03-08 16:00:02
,,2020-12-10,8310,negative,2022-03-08 16:00:02
,,2020-03-25,708,negative,2022-03-08 16:00:02
,,2020-08-03,143,positive,2022-03-08 16:00:02
,,2022-01-10,3306,positive,2022-03-08 16:00:02
,,2021-09-07,7569,negative,2022-03-08 16:00:02
,,2021-01-14,10810,negative,2022-03-08 16:00:02
,,2021-05-11,260,positive,2022-03-08 16:00:02
,,2020-05-18,273,positive,2022-03-08 16:00:02
,,2021-11-29,11889,negative,2022-03-08 16:00:02
,,2020-09-14,3644,negative,2022-03-08 16:00:02
,,2021-07-15,77,positive,2022-03-08 16:00:02
,,2020-10-13,223,positive,2022-03-08 16:00:02
,,2021-03-05,8235,negative,2022-03-08 16:00:02
,,2022-03-04,5399,negative,2022-03-08 16:00:02
,,2020-06-11,1867,negative,2022-03-08 16:00:02
